vlLocX,vlLocY,descLanduse,descUnit,vlCadmium,vlCobalt,vlChromium,vlNickel,vlLead,vlZinc,status,rankCadmium,rankCobalt,rankChromium,rankNickel,rankPb,rankZn,descAnomalyZn
1.932,1.004,campo,argoviano,0.135,4.52,15.08,5.24,37.0,32.56,,0.0,0.14,0.02,0.03,0.28,0.04,normal
1.824,0.999,campo,argoviano,0.165,3.752,18.6,7.08,56.4,44.0,,0.0,0.07,0.06,0.07,0.68,0.12,normal
1.883,1.176,campo,argoviano,0.195,3.92,21.8,7.52,49.6,43.2,,0.01,0.1,0.12,0.1,0.56,0.1,normal
1.837,1.037,campo,argoviano,0.215,3.88,23.0,8.16,46.8,44.0,,0.01,0.09,0.14,0.11,0.51,0.12,normal
3.768,2.775,floresta,kimmeridgiano,0.22,10.8,26.32,17.52,31.88,45.2,,0.02,0.6,0.2,0.37,0.11,0.14,normal
1.839,0.995,campo,argoviano,0.225,4.24,24.88,10.12,55.6,56.0,,0.02,0.12,0.17,0.16,0.68,0.26,normal
2.537,3.768,campo,argoviano,0.23,3.792,18.2,5.68,26.84,32.08,,0.02,0.08,0.04,0.05,0.04,0.03,normal
2.502,3.988,campo,argoviano,0.24,3.76,18.92,5.2,22.36,32.24,,0.03,0.08,0.06,0.03,0.02,0.04,normal
1.842,0.989,campo,argoviano,0.24,4.52,27.96,11.32,52.4,56.4,,0.03,0.14,0.26,0.2,0.62,0.26,normal
1.897,1.22,campo,argoviano,0.26,3.48,16.24,4.76,27.0,27.2,,0.04,0.04,0.03,0.01,0.05,0.01,normal
2.58,3.654,campo,quaternario,0.275,3.552,16.2,4.64,20.2,33.44,,0.04,0.06,0.02,0.0,0.0,0.05,normal
2.353,1.274,campo,argoviano,0.275,4.32,15.4,4.2,32.56,37.88,,0.04,0.13,0.02,0.0,0.12,0.07,normal
3.721,4.239,campo,sequaniano,0.28,8.0,25.96,12.28,41.2,46.4,,0.05,0.34,0.18,0.21,0.38,0.15,normal
2.223,0.58,campo,kimmeridgiano,0.285,9.6,38.0,24.52,44.0,76.0,,0.05,0.46,0.61,0.71,0.45,0.55,normal
2.795,3.645,campo,quaternario,0.3,4.24,17.32,6.32,37.76,27.12,,0.06,0.12,0.04,0.06,0.31,0.0,normal
2.584,3.649,campo,quaternario,0.305,3.72,18.0,5.6,48.4,44.8,,0.06,0.07,0.04,0.04,0.54,0.14,normal
1.877,1.186,campo,argoviano,0.32,3.8,18.2,6.44,45.2,39.88,,0.06,0.08,0.04,0.06,0.49,0.09,normal
3.025,1.201,campo,sequaniano,0.32,5.6,18.52,7.2,40.2,43.72,,0.06,0.21,0.05,0.09,0.37,0.12,normal
